comp_name,stock_id,chg_stock_id
海能实业,SZ300787,sz.300787
奥飞数据,SZ300738,sz.300738
迦南智能,SZ300880,sz.300880
天虹股份,SZ002419,sz.002419
九鼎投资,SH600053,sh.600053
融捷健康,SZ300247,sz.300247
百龙创园,SH605016,sh.605016
华立科技,SZ301011,sz.301011
泉阳泉,SH600189,sh.600189
星徽股份,SZ300464,sz.300464
奥雅股份,SZ300949,sz.300949
粤海饲料,SZ001313,sz.001313
好想你,SZ002582,sz.002582
光弘科技,SZ300735,sz.300735
美好置业,SZ000667,sz.000667
东港股份,SZ002117,sz.002117
莱茵体育,SZ000558,sz.000558
佳讯飞鸿,SZ300213,sz.300213
酒鬼酒,SZ000799,sz.000799
极米科技,SH688696,sh.688696
英维克,SZ002837,sz.002837
浙江建投,SZ002761,sz.002761
电气风电,SH688660,sh.688660
安德利,SH605198,sh.605198
四通股份,SH603838,sh.603838
启明信息,SZ002232,sz.002232
彩讯股份,SZ300634,sz.300634
恒顺醋业,SH600305,sh.600305
创维数字,SZ000810,sz.000810
星辉娱乐,SZ300043,sz.300043
精伦电子,SH600355,sh.600355
神雾节能,SZ000820,sz.000820
奥佳华,SZ002614,sz.002614
钧达股份,SZ002865,sz.002865
行动教育,SH605098,sh.605098
天和防务,SZ300397,sz.300397
晶雪节能,SZ301010,sz.301010
比音勒芬,SZ002832,sz.002832
上海梅林,SH600073,sh.600073
珍宝岛,SH603567,sh.603567
惠而浦,SH600983,sh.600983
白云机场,SH600004,sh.600004
江苏舜天,SH600287,sh.600287
京城股份,SH600860,sh.600860
佳都科技,SH600728,sh.600728
长城电工,SH600192,sh.600192
惠泉啤酒,SH600573,sh.600573
华斯股份,SZ002494,sz.002494
海力风电,SZ301155,sz.301155
万辰生物,SZ300972,sz.300972
吉视传媒,SH601929,sh.601929
茂业商业,SH600828,sh.600828
探路者,SZ300005,sz.300005
大晟文化,SH600892,sh.600892
中迪投资,SZ000609,sz.000609
上海洗霸,SH603200,sh.603200
恒力石化,SH600346,sh.600346
亨迪药业,SZ301211,sz.301211
双一科技,SZ300690,sz.300690
石基信息,SZ002153,sz.002153
百洋医药,SZ301015,sz.301015
开创国际,SH600097,sh.600097
威胜信息,SH688100,sh.688100
大胜达,SH603687,sh.603687
民生控股,SZ000416,sz.000416
东望时代,SH600052,sh.600052
台华新材,SH603055,sh.603055
我乐家居,SH603326,sh.603326
竞业达,SZ003005,sz.003005
创益通,SZ300991,sz.300991
粤传媒,SZ002181,sz.002181
拓维信息,SZ002261,sz.002261
恒实科技,SZ300513,sz.300513
步步高,SZ002251,sz.002251
远望谷,SZ002161,sz.002161
中新赛克,SZ002912,sz.002912
中天精装,SZ002989,sz.002989
顾家家居,SH603816,sh.603816
广西广电,SH600936,sh.600936
王府井,SH600859,sh.600859
天威视讯,SZ002238,sz.002238
科思股份,SZ300856,sz.300856
泰胜风能,SZ300129,sz.300129
晨丰科技,SH603685,sh.603685
永悦科技,SH603879,sh.603879
深信服,SZ300454,sz.300454
金智科技,SZ002090,sz.002090
国联水产,SZ300094,sz.300094
奥士康,SZ002913,sz.002913
会畅通讯,SZ300578,sz.300578
安琪酵母,SH600298,sh.600298
