comp_name,stock_id,chg_stock_id
赣能股份,SZ000899,sz.000899
湘潭电化,SZ002125,sz.002125
新疆众和,SH600888,sh.600888
盾安环境,SZ002011,sz.002011
常熟汽饰,SH603035,sh.603035
云涌科技,SH688060,sh.688060
东风汽车,SH600006,sh.600006
联泓新科,SZ003022,sz.003022
南亚新材,SH688519,sh.688519
南网能源,SZ003035,sz.003035
洁特生物,SH688026,sh.688026
一汽解放,SZ000800,sz.000800
海南矿业,SH601969,sh.601969
佳士科技,SZ300193,sz.300193
聚灿光电,SZ300708,sz.300708
润和软件,SZ300339,sz.300339
银河微电,SH688689,sh.688689
钢研纳克,SZ300797,sz.300797
汇顶科技,SH603160,sh.603160
盛屯矿业,SH600711,sh.600711
万泽股份,SZ000534,sz.000534
屹通新材,SZ300930,sz.300930
中远海能,SH600026,sh.600026
药石科技,SZ300725,sz.300725
越博动力,SZ300742,sz.300742
先进数通,SZ300541,sz.300541
宏润建设,SZ002062,sz.002062
广东鸿图,SZ002101,sz.002101
松芝股份,SZ002454,sz.002454
集泰股份,SZ002909,sz.002909
英科再生,SH688087,sh.688087
实朴检测,SZ301228,sz.301228
久远银海,SZ002777,sz.002777
长春燃气,SH600333,sh.600333
泉峰汽车,SH603982,sh.603982
奥浦迈,SH688293,sh.688293
耀皮玻璃,SH600819,sh.600819
天际股份,SZ002759,sz.002759
万邦德,SZ002082,sz.002082
易明医药,SZ002826,sz.002826
扬帆新材,SZ300637,sz.300637
正海生物,SZ300653,sz.300653
三德科技,SZ300515,sz.300515
纳思达,SZ002180,sz.002180
禾盛新材,SZ002290,sz.002290
科力远,SH600478,sh.600478
翱捷科技-U,SH688220,sh.688220
金卡智能,SZ300349,sz.300349
鼎阳科技,SH688112,sh.688112
东来技术,SH688129,sh.688129
科恒股份,SZ300340,sz.300340
陇神戎发,SZ300534,sz.300534
雷迪克,SZ300652,sz.300652
悦康药业,SH688658,sh.688658
熵基科技,SZ301330,sz.301330
新雷能,SZ300593,sz.300593
捷邦科技,SZ301326,sz.301326
诚益通,SZ300430,sz.300430
